time,user_name,user_color,message
91,jim_jam_devourer_of_gods,#FF69B4,"jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM"
91,kr1ntsi,#8A2BE2,"nu vedalUUH"
91,hamlegs234,#DAA520,"Nu"
92,xerithas45,#0000FF,"nu"
93,d4y_d734m,,"neuroOnline"
93,linneark,#9ACD32,"now"
93,criticaltoast27,#9ACD32,"peak song"
93,tobiwonkanogy,#9ACD32,"NeuroZyzz NeuroZyzz"
93,naufumi_endou,,"Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM  ͏"
93,sightorld,#FF69B4,"same 1.5 songs buh"
93,makrolp,#1E90FF,"vedalCheer vedalCheer"
94,hjalnir,#FF00CC,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
94,felidaefelicis,#1E90FF,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
94,teek42099,,"hi"
94,lle0o0,#DAA520,"neuroBoogie"
94,ashekii,#FF69B4,"CINEMA NEVER MISS TUESDAY INTRO SONGS CINEMA NEVER MISS TUESDAY INTRO SONGS CINEMA NEVER MISS TUESDAY INTRO SONGS CINEMA NEVER MISS TUESDAY INTRO SONGS"
94,squiddinx,#5F9EA0,"vedalCheer vedalCheer"
95,asutype,#8A2BE2,"nu"
96,kiftikobra_4,#8A2BE2,"jah"
96,magdekko,#FF69B4,"nu, chat, nu"
96,lokoxdzz,#FF0000,"nu"
96,snow_arashi,#1E90FF,"vedalNURU vedalNURU vedalNURU vedalNURU"
96,kinnay007,#1E90FF,"nu"
97,leodeveloper27,#1E90FF,"nu"
98,tellomore,#1E90FF,"neuroOnline nu"
98,treborlo,,"vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU"
98,linneark,#9ACD32,"rtgameRave rtgameRave rtgameRave rtgameRave"
99,lle0o0,#DAA520,"neuroBoogie KawaiiTime"
99,clone63,#FFAEF4,"jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM"
99,pandabreadlive,#8A2BE2,"vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer"
99,spacerice_,#79F0FF,"juh"
99,hamlegs234,#DAA520,"nu"
99,daggostx,#008000,"LETSGO nu"
100,vibe7394,#8A2BE2,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
100,xaendril,#DAA520,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer"
100,tomega75,#DAA520,"vedalCheer vedalCheer vedalCheer vedalCheer"
100,felidaefelicis,#1E90FF,"Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM  ͏"
101,shioris_gymbag,#E1A520,"jah"
101,the_driver_wheel,#008000,"nwero"
101,darksushi810,#1E90FF,"cerbyGURU"
101,pastel8844,#3C7A18,"EvilTuckk  MaisatRaisat"
102,feelmycake,#B22222,"vedalCheer vedalCheer"
102,mitsuaizakku,#FF0000,"vedalNURU vedalNURU vedalNURU vedalNURU"
102,itsralphhh,#1E90FF,"boing"
102,pastel8844,#3C7A18,"Dance same 5 intro songs"
103,slev_en,#8A2BE2,"nu"
103,gh0stcatlvr,#00FF7F,"NURU"
103,kiftikobra_4,#8A2BE2,"jah ͏"
104,hayhaycoat,#FF0000,"nu"
104,spaceworlds,#4580FF,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
104,00412,#00FF7F,"nub"
104,oooozzzz7,,"Nu??????"
105,johnstevon,,"vedalDance vedalDance"
105,thelordbanana_,#DAA520,"catPls"
105,lazy_racer,#1E90FF,"FlowerCatJAM"
106,lazulitesky,#BC8FCB,"nu"
106,gabsywoofy,#B22222,"om"
106,stany_d,#FF4500,"Nu is the thirteenth letter of the Greek alphabet, representing the voiced alveolar nasal [n]. In the system of Greek numerals it has a value of 50."
107,valproh231,#FF69B4,"nu TeaTime"
107,prilkrevan,#FF69B4,"vedalCheer vedalCheer vedalCheer vedalCheer"
107,kaluzub,#00FF7F,"juh"
107,tmcalypso,#FF69B4,"Shiza"
107,deluxe233,#00A193,"SadDance"
107,annoyingfart,#FFFFFF,"nu mhm"
108,morphuno,,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalNURU"
108,bignose_de,#1E90FF,"@sightorld Overstatements getting crazier ICANT"
109,linneark,#9ACD32,"rtgameRave rtgameWiggle rtgameRave rtgameWiggle rtgameRave rtgameWiggle rtgameRave"
109,hyper__death,#FF0000,"nur"
109,liesdespair,#1E90FF,"nu"
111,brooms17,#008000,"OO EE OO A A TING TANG WALLA WALLA BING BANG"
111,duckyplayz6996,#DAA520,"nu"
111,felidaefelicis,#1E90FF,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
111,xithunder123,#B22222,"jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM"
112,trym3b1tch,#2E8B57,"vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer vedalNURU vedalCheer"
112,ryuujou514,#FF7F50,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
112,eko177,#1E90FF,"nu indeed"
112,winiwinton,#2E8B57,"neuroLebronJam"
112,gamingglatiator,#FF5F00,"same 5 songs LULE"
112,empy_tm,#5F9EA0,"treasure train LETSGOO"
113,snow_arashi,#1E90FF,"n u"
113,teek42099,,"hello"
113,czadymny,#FF0000,"jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM ͏"
114,redbeanvt,#FF4500,"nu"
115,iggytheaxolotl,#FF69B4,"nu"
115,mhykhol,#FF0000,"nuh"
115,toomuchohm,#FF0000,"nu"
115,csc1107,#8A2BE2,"Pog nu"
115,oakplays05,#1E90FF,"vedalNURU vedalCheer vedalDance vedalNURU vedalCheer vedalDance vedalNURU vedalCheer vedalDance"
116,pandabreadlive,#8A2BE2,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
116,voyagersandwich,#008000,"nu"
117,redkaosz,#FF0000,"FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM FlowerCatJAM EDM"
118,mousbox,#1E90FF,"nu"
118,felidaefelicis,#1E90FF,"jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM"
118,kiftikobra_4,#8A2BE2,"vedalCheer vedalCheer vedalCheer"
118,qman_dk,#0000FF,"FlowerCatJAM FlowerCatJAM"
118,lukestarlingbr,#FF0000,"its funny because Nu means “naked” in portuguese"
118,patricius_b,#FF69B4,"nu mhm"
